NtsbNo,ProbableCause,Findings,Event.Id,narratives.narr_cause,safetyrecs2026-02-28_15-34.Recommendation
SEA08IA080,"The captain and first officer inadvertently falling asleep during the cruise phase of flight. Contributing to the incident were the captain's undiagnosed obstructive sleep apnea and the flight crew�s recent work schedules, which included several consecutive days of early-morning start times.","Personnel issues - Physical - Alertness/Fatigue - (general) - Flight crew, Personnel issues - Physical - Alertness/Fatigue - Fatigue due to work schedule - Flight crew, Personnel issues - Physical - Alertness/Fatigue - Lack of sleep - Flight crew, Personnel issues - Physical - Health/Fitness - Predisposing condition - Pilot",20080222X00229,"The captain and first officer inadvertently falling asleep during the cruise phase of flight. Contributing to the incident were the captain's undiagnosed obstructive sleep apnea and the flight crew�s recent work schedules, which included several consecutive days of early-morning start times.","TO THE FEDERAL AVIATION ADMINISTRATION: Implement a program to identify pilots at high risk for obstructive sleep apnea and require that those pilots provide evidence through the medical certification process of having been appropriately evaluated and, if treatment is needed, effectively treated for that disorder before being granted unrestricted medical certification."
DCA08IA048,"The installed wing panel clips failed due to fatigue, likely caused by the incorrect installation of the fasteners in response to SB 757-57-0027.  Contributing to the incorrect installation was the SB's lack of clarity in the instructions and figures on the correct orientation of the clips and spacers.","Personnel issues - Task performance - Maintenance - Installation - Maintenance personnel, Organizational issues - Development - Design - Task design - Manufacturer",20080509X00640,"The installed wing panel clips failed due to fatigue, likely caused by the incorrect installation of the fasteners in response to SB 757-57-0027.  Contributing to the incorrect installation was the SB's lack of clarity in the instructions and figures on the correct orientation of the clips and spacers.","TO THE FEDERAL AVIATION ADMINISTRATION: Require operators of Boeing 757 airplanes to conduct a one-time visual inspection of the upper wing fixed trailing edge panel support beam clips for cracks, proper orientation, and spacers, and to replace cracked clips and reinstall any clips that are improperly oriented or that lack spacers, in accordance with Boeing Service Bulletin 757-57-0027, Revision 2, dated November 14, 1991."
DCA08IA033,a fault in the airplane's AC 1 electrical bus that caused a number of other electrical busses on the aircraft to lose power.,Aircraft - Aircraft systems - Electrical power system - AC power distribution system - Malfunction,20080514X00667,a fault in the airplane's AC 1 electrical bus that caused a number of other electrical busses on the aircraft to lose power.,"TO THE FEDERAL AVIATION ADMINISTRATION: Require Airbus to develop a modification for in-service A320 family aircraft such that, in the event of an AC 1 electrical bus failure, the standby attitude indicator is powered by an additional power source that will last for a minimum of 30 minutes, and require operators to incorporate this modification as soon as possible after it is available."
CHI08IA292,The failure of an electrical relay due to eroded contacts and the flight crew's decision to continue a flight that was operating on battery power.,"Aircraft - Aircraft systems - Electrical power system - DC power distribution system - Fatigue/wear/corrosion, Organizational issues - Development - Manufacture/production - Document/info production - Manufacturer, Organizational issues - Management - Policy/procedure - Adequacy of policy/proc - Operator, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Flight crew, Personnel issues - Action/decision - Info processing/decision - Understanding/comprehension - Flight crew",20081007X03940,The failure of an electrical relay due to eroded contacts and the flight crew's decision to continue a flight that was operating on battery power.,"TO THE FEDERAL AVIATION ADMINISTRATION: Require the Boeing Airplane Company to revise its 757/767 procedures and training for addressing an illuminated Standby Power Bus OFF light, to include specific steps to take so that complete loss of battery power is avoided. These steps should include landing at the nearest suitable airport before the power is depleted and actions to take if landing is not possible."
ENG08IA038,The engine experienced an uncontained release of high pressure turbine material due to fatigue cracks that occurred on four consecutive blade retainig lugs on the 2nd stage turbine hub. The cracked lugs resulted in the release of four 2nd stage turbine blades that penetrated the engine's cases and nacelle. The lugs cracked due to loss of material and resultant increase in stress load on the blade slot serrations due to excessve grit blasting when the hub was being overhauled  by Delta Air Lines. Contributing to the uncontained incident was the FAA's and Pratt & Whitney's failure to act in a timely manner when another PW2037 2nd stage turbine hub was found to have multiple cracks in the blade retaining lugs.,Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Failure,20081003X16340,The engine experienced an uncontained release of high pressure turbine material due to fatigue cracks that occurred on four consecutive blade retainig lugs on the 2nd stage turbine hub. The cracked lugs resulted in the release of four 2nd stage turbine blades that penetrated the engine's cases and nacelle. The lugs cracked due to loss of material and resultant increase in stress load on the blade slot serrations due to excessve grit blasting when the hub was being overhauled  by Delta Air Lines. Contributing to the uncontained incident was the FAA's and Pratt & Whitney's failure to act in a timely manner when another PW2037 2nd stage turbine hub was found to have multiple cracks in the blade retaining lugs.,"TO THE FEDERAL AVIATION ADMINISTRATION: Require that Pratt & Whitney PW2037 engines be removed from service for inspection of the 2nd stage turbine hubs when they have accumulated significantly fewer hours and/or cycles than the incident engine (10,880 hours and/or 4,392 cycles). (Urgent)"
DCA09IA017,"the failure of the maintenance personnel to properly complete the installation, and the inspection personnel to conduct the proper functional test, of the left main landing gear uplock assembly.","Aircraft - Aircraft systems - Landing gear system - Main landing gear - Incorrect service/maintenance, Personnel issues - Task performance - Maintenance - Replacement - Maintenance personnel, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Malfunction",20081215X93019,"the failure of the maintenance personnel to properly complete the installation, and the inspection personnel to conduct the proper functional test, of the left main landing gear uplock assembly.",TO THE FEDERAL AVIATION ADMINISTRATION: Require that mechanics performing required inspection item and other critical tasks receive on-the-job training or supervision when completing the maintenance task until the mechanic demonstrates proficiency in the task.
DCA09MA021,"The captain�s cessation of right rudder input, which was needed to maintain directional control of the airplane, about 4 seconds before the excursion, when the airplane encountered a strong and gusty crosswind that exceeded the captain�s training and experience. Contributing to the accident were the following factors: 1) an air traffic control system that did not require or facilitate the dissemination of key, available wind information to the air traffic controllers and pilots; and 2) inadequate crosswind training in the airline industry due to deficient simulator wind gust modeling.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Crosswind correction - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Response/compensation, Personnel issues - Action/decision - Action - Incomplete action - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Availability of related info, Organizational issues - Management - Communication (organizational) - Between groups/organizations - ATC, Organizational issues - Support/oversight/monitoring - Training - (general) - Not specified, Aircraft - Aircraft systems - Equipment/furnishings - (general) - Damaged/degraded, Aircraft - Aircraft systems - Equipment/furnishings - Buffet/galleys - Damaged/degraded",20081221X14648,"The captain�s cessation of right rudder input, which was needed to maintain directional control of the airplane, about 4 seconds before the excursion, when the airplane encountered a strong and gusty crosswind that exceeded the captain�s training and experience. Contributing to the accident were the following factors: 1) an air traffic control system that did not require or facilitate the dissemination of key, available wind information to the air traffic controllers and pilots; and 2) inadequate crosswind training in the airline industry due to deficient simulator wind gust modeling.",TO THE FEDERAL AVIATION ADMINISTRATION: Modify the design and test requirements for the attachment points of passenger service units to account for the higher localized loading that results from the relative motion of the attachment structure.
DCA09MA026,"The ingestion of large birds into each engine, which resulted in an almost total loss of thrust in both engines and the subsequent ditching on the Hudson River. Contributing to the fuselage damage and resulting unavailability of the aft slide/rafts were (1) the Federal Aviation Administration�s approval of ditching certification without determining whether pilots could attain the ditching parameters without engine thrust, (2) the lack of industry flight crew training and guidance on ditching techniques, and (3) the captain�s resulting difficulty maintaining his intended airspeed on final approach due to the task saturation resulting from the emergency situation.

Contributing to the survivability of the accident was (1) the decision-making of the flight crewmembers and their crew resource management during the accident sequence; (2) the fortuitous use of an airplane that was equipped for an extended overwater flight, including the availability of the forward slide/rafts, even though it was not required to be so equipped; (3) the performance of the cabin crewmembers while expediting the evacuation of the airplane; and (4) the proximity of the emergency responders to the accident site and their immediate and appropriate response to the accident.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment, Organizational issues - Development - Selection/certification/testing - Equip certification/testing - FAA/Regulator, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Related operating info, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Environmental issues - Task environment - Pressures/demands - Other pressure/demand - Effect on personnel, Aircraft - Aircraft systems - Indicating/recording systems - (general) - Not specified, Organizational issues - Management - Policy/procedure - (general) - Airport, Aircraft - Aircraft systems - Equipment/furnishings - Passenger compartment equip - Related operating info, Environmental issues - Operating environment - Air traffic/operating proc - (general) - Not specified, Aircraft - Aircraft structures - Fuselage - (general) - Design, Personnel issues - Task performance - Communication (personnel) - Following instructions - Passenger",20090115X73226,"The ingestion of large birds into each engine, which resulted in an almost total loss of thrust in both engines and the subsequent ditching on the Hudson River. Contributing to the fuselage damage and resulting unavailability of the aft slide/rafts were (1) the Federal Aviation Administration�s approval of ditching certification without determining whether pilots could attain the ditching parameters without engine thrust, (2) the lack of industry flight crew training and guidance on ditching techniques, and (3) the captain�s resulting difficulty maintaining his intended airspeed on final approach due to the task saturation resulting from the emergency situation.

Contributing to the survivability of the accident was (1) the decision-making of the flight crewmembers and their crew resource management during the accident sequence; (2) the fortuitous use of an airplane that was equipped for an extended overwater flight, including the availability of the forward slide/rafts, even though it was not required to be so equipped; (3) the performance of the cabin crewmembers while expediting the evacuation of the airplane; and (4) the proximity of the emergency responders to the accident site and their immediate and appropriate response to the accident.","TO THE FEDERAL AVIATION ADMINISTRATION: Require 14 Code of Federal Regulations Part 121, Part 135, and Part 91 Subpart K operators to brief passengers on all flotation equipment installed on an airplane, including a full demonstration of correct life vest retrieval and donning procedures, before all flights, regardless of route."
CEN09MA142,"The flight crew's failure to monitor and maintain a minimum safe airspeed while executing an instrument approach in icing conditions, which resulted in an aerodynamic stall at low altitude. Contributing to the accident were 1) the flight crew's failure to follow published standard operating procedures in response to a flap anomaly, 2) the captain's decision to continue with the unstabilized approach, 3) the flight crew's poor crew resource management, and 4) fatigue due to the time of day in which the accident occurred and a cumulative sleep debt, which likely impaired the captain's performance.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Flight crew, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Freezing rain/sleet - Effect on equipment, Personnel issues - Action/decision - Action - Incorrect action performance - Pilot, Personnel issues - Action/decision - Info processing/decision - (general) - Flight crew, Personnel issues - Physical - Alertness/Fatigue - Lack of sleep - Pilot, Personnel issues - Physical - Alertness/Fatigue - Circadian rhythms or jetlag - Pilot, Personnel issues - Task performance - Communication (personnel) - CRM/MRM techniques - Flight crew, Organizational issues - Management - Communication (organizational) - Between groups/organizations - Emergency services, Environmental issues - Operating environment - Airport facilities/design - (general) - Effect on operation",20090127X92950,"The flight crew's failure to monitor and maintain a minimum safe airspeed while executing an instrument approach in icing conditions, which resulted in an aerodynamic stall at low altitude. Contributing to the accident were 1) the flight crew's failure to follow published standard operating procedures in response to a flap anomaly, 2) the captain's decision to continue with the unstabilized approach, 3) the flight crew's poor crew resource management, and 4) fatigue due to the time of day in which the accident occurred and a cumulative sleep debt, which likely impaired the captain's performance.","TO THE FEDERAL AVIATION ADMINISTRATION: Require that Avions de Transport R�gional (ATR) 42-series airplanes operating in the United States incorporate a revised stick pusher activation angle of attack (AOA), such that the stick pusher activates before the stall AOA in the presence of airframe ice accretions."
DCA09MA027,"The captain�s inappropriate response to the activation of the stick shaker, which led to an aerodynamic stall from which the airplane did not recover. Contributing to the accident were (1) the flight crew's failure to monitor airspeed in relation to the rising position of the low-speed cue, (2) the flight crew failure to adhere to sterile cockpit procedures, (3) the captain�s failure to effectively manage the flight, and (4) Colgan Air�s inadequate procedures for airspeed selection and management during approaches in icing conditions.","Aircraft - Aircraft systems - Navigation system - Stall warning system - Incorrect use/operation, Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Flight crew, Personnel issues - Task performance - Communication (personnel) - CRM/MRM techniques - Flight crew, Personnel issues - Task performance - Workload management - (general) - Pilot, Organizational issues - Management - Policy/procedure - Adequacy of policy/proc - Operator, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to structural icing - Not specified, Aircraft - Aircraft systems - Indicating/recording systems - Instrument panel    - Not installed/available, Personnel issues - Physical - Alertness/Fatigue - (general) - Unknown/Not determined, Organizational issues - Support/oversight/monitoring - Documentation/record keeping - Personnel records - Operator, Organizational issues - Support/oversight/monitoring - Training - Recurrent training - Operator, Organizational issues - Support/oversight/monitoring - Oversight - Oversight of operation - FAA/Regulator, Organizational issues - Support/oversight/monitoring - Safety programs - (general) - Operator, Environmental issues - Conditions/weather/phenomena - (general) - (general) - Availability of related info",20090213X13613,"The captain�s inappropriate response to the activation of the stick shaker, which led to an aerodynamic stall from which the airplane did not recover. Contributing to the accident were (1) the flight crew's failure to monitor airspeed in relation to the rising position of the low-speed cue, (2) the flight crew failure to adhere to sterile cockpit procedures, (3) the captain�s failure to effectively manage the flight, and (4) Colgan Air�s inadequate procedures for airspeed selection and management during approaches in icing conditions.","TO THE FEDERAL AVIATION ADMINISTRATION: Require 14 Code of Federal Regulations Part 121, 135, and 91K operators to review their standard operating procedures to verify that they are consistent with the flight crew monitoring techniques described in Advisory Circular (AC) 120-71A, ""Standard Operating Procedures for Flight Deck Crewmembers""; if the procedures are found not to be consistent, revise the procedures according to the AC guidance to promote effective monitoring."
